n-plet	method	alpha	beta	O-information
X1-X2-Z_syn	JDIT	0.07	0.94	-0.3944764445485296
X1-X2-Z_syn-Z_red	JDIT	0.07	0.94	3.0726470179489405
X1-X2-Z_syn	JDIT	0.07	0.95	-0.38836470041366716
X1-X2-Z_syn-Z_red	JDIT	0.07	0.95	3.083310944909155
X1-X2-Z_syn	JDIT	0.07	0.96	-0.38378282224380716
X1-X2-Z_syn-Z_red	JDIT	0.07	0.96	3.089679914287669
X1-X2-Z_syn	JDIT	0.07	0.97	-0.3783665920291971
X1-X2-Z_syn-Z_red	JDIT	0.07	0.97	3.099509116241527
X1-X2-Z_syn	JDIT	0.07	0.98	-0.3727490029736784
X1-X2-Z_syn-Z_red	JDIT	0.07	0.98	3.1081390660236323
X1-X2-Z_syn	JDIT	0.07	0.99	-0.3686423507596552
