n_variables	n_samples	real_entropy	real_o_information	npeet_entropy	gcmi_entropy	o_info_npeet	o_info_gcmi
3	15000	-1.661999792962181	-0.18806560631301572	-6.410417767060725	3.621229805171305	-3.632132770794124	-1.8693612803417352
3	100000	-1.661999792962181	-0.18806560631301572	-7.354246877528755	3.587938587848463	-4.588526323066294	-1.8962257904068474
3	150000	-1.661999792962181	-0.18806560631301572	-7.551531142594346	3.5906984875438064	-4.781697517568757	-1.895830005797825
3	1000000	-1.661999792962181	-0.18806560631301572	-8.508308013251513	3.594040826351047	-5.731802689772847	-1.8929851882487645
3	1500000	-1.661999792962181	-0.18806560631301572	-8.712704223060639	3.592796986359722	-5.932247985026681	-1.8947115084140238
3	10	-2.0610697517444834	0.020158517767988826	-3.883686645306028	4.647555674545781	0.074977505592285	-0.5516921624386608
3	15	-2.0610697517444834	0.020158517767988826	-3.3195148022761205	3.921292705446686	-0.2058928154283377	-1.0544411458298955
3	100	-2.0610697517444834	0.020158517767988826	-4.492004169859369	3.978508176065762	-1.0171313114207408	-1.444217593794423
3	150	-2.0610697517444834	0.020158517767988826	-4.830358242171885	3.784608138052992	-1.2868762699613852	-1.6781924743268788
3	1000	-2.0610697517444834	0.020158517767988826	-5.677307036351216	3.207171313178802	-2.2850557344843514	-2.3024882271041665
3	1500	-2.0610697517444834	0.020158517767988826	-5.915298990360926	3.2719496308624842	-2.4800405825700285	-2.238701476485849
3	10000	-2.0610697517444834	0.020158517767988826	-6.769426121737622	3.150507429169058	-3.489014357539224	-2.375308756561923
